購入日,顧客ID,従業員数,商品カテゴリ,ID,単価,注文数,購入額
2020/1/1,CS008477,388,ウーロン系飲料,PD06249,200,48,9600
2020/1/1,CS008858,100,むぎ茶飲料,PD05618,150,104,15600
2020/1/1,CS000396,23,ミネラルウォーター類,PD02989,150,32,4800
2020/1/1,CS009123,397,ウーロン系飲料,PD01713,200,380,76000
2020/1/1,CS009530,108,スポーツ飲料等,PD05166,150,36,5400
2020/1/1,CS001611,68,ミネラルウォーター類,PD03708,150,39,5850
2020/1/1,CS008306,113,コーラ炭酸飲料,PD06669,150,53,7950
2020/1/1,CS004000,79,ウーロン系飲料,PD06052,150,63,9450
2020/1/1,CS009706,16,果汁入り炭酸飲料（5%以上10%未満）,PD08108,200,13,2600
2020/1/1,CS006662,13,コーヒー,PD04868,120,40,4800
2020/1/1,CS005254,106,コーラ炭酸飲料,PD06352,200,110,22000
2020/1/1,CS007982,204,コーラ炭酸飲料,PD01671,150,55,8250
2020/1/1,CS005761,122,むぎ茶飲料,PD00705,200,122,24400
2020/1/1,CS005114,86,ミネラルウォーター類,PD01041,150,70,10500
2020/1/1,CS000821,25,豆乳類等,PD05511,150,53,7950
2020/1/1,CS005761,122,ブレンド茶飲料,PD02384,150,35,5250
2020/1/2,CS008910,400,スポーツ飲料等,PD06886,150,11,1650
2020/1/2,CS004448,11,ミネラルウォーター類,PD09472,200,20,4000
2020/1/2,CS005968,82,ウーロン系飲料,PD09712,150,86,12900
2020/1/2,CS009473,38,むぎ茶飲料,PD04140,150,19,2850
2020/1/2,CS007131,71,コーラ炭酸飲料,PD01155,120,55,6600
2020/1/2,CS009123,397,ミネラルウォーター類,PD08770,120,402,48240
2020/1/2,CS007383,93,ミネラルウォーター類,PD04335,200,45,9000
2020/1/2,CS000030,80,ミネラルウォーター類,PD09264,150,44,6600
2020/1/2,CS001842,32,コーヒー,PD04315,200,47,9400
2020/1/2,CS008101,23,ミネラルウォーター類,PD01660,150,1,150
2020/1/2,CS005472,152,スポーツ飲料等,PD03718,120,162,19440
2020/1/2,CS008477,388,コーラ炭酸飲料,PD04404,120,387,46440
2020/1/2,CS008365,16,ウーロン系飲料,PD08164,120,35,4200
2020/1/2,CS007462,57,ミネラルウォーター類,PD09264,150,23,3450
2020/1/2,CS000734,57,果汁入り炭酸飲料（5%以上10%未満）,PD09263,100,37,3700
2020/1/2,CS008540,152,ミネラルウォーター類,PD00149,150,153,22950
2020/1/3,CS000778,18,コーラ炭酸飲料,PD06352,200,45,9000
2020/1/3,CS000409,24,ミネラルウォーター類,PD05710,200,32,6400
2020/1/3,CS007412,148,栄養ドリンク炭酸飲料,PD03397,120,34,4080
2020/1/3,CS004124,75,コーラ炭酸飲料,PD06737,200,34,6800
2020/1/3,CS005432,320,ミネラルウォーター類,PD09941,200,316,63200
2020/1/3,CS007600,12,ブレンド茶飲料,PD08290,150,1,150
