顧客ID,メニューID,来店日,お支払い額,クーポン
CS00467,P021,2021-01-01,580,なし
CS02583,P025,2021-01-01,870,なし
CS02583,P004,2021-01-01,380,なし
CS02583,P003,2021-01-01,380,なし
CS02583,P006,2021-01-01,360,なし
CS02224,P004,2021-01-01,380,なし
CS02224,P008,2021-01-01,410,なし
CS02224,P019,2021-01-01,450,なし
CS02224,P024,2021-01-01,530,クーポンA
CS01184,P021,2021-01-01,580,なし
CS01184,P001,2021-01-01,390,なし
CS01184,P009,2021-01-01,290,なし
CS01184,P008,2021-01-01,410,なし
CS01184,P017,2021-01-01,380,なし
CS01184,P006,2021-01-01,360,なし
CS01184,P025,2021-01-01,770,クーポンA
CS01184,P014,2021-01-01,510,なし
CS01184,P000,2021-01-01,580,なし
CS01426,P008,2021-01-01,410,なし
CS01073,P004,2021-01-01,380,なし
CS01073,P016,2021-01-01,350,なし
CS01073,P017,2021-01-01,361,クーポンB
CS01073,P004,2021-01-01,380,なし
CS01073,P024,2021-01-01,630,なし
CS01607,P007,2021-01-01,400,なし
CS01607,P010,2021-01-01,220,なし
CS02215,P015,2021-01-01,510,なし
CS02215,P015,2021-01-01,510,なし
CS02215,P001,2021-01-01,390,なし
CS02215,P006,2021-01-01,360,なし
CS02215,P002,2021-01-01,420,なし
CS02215,P003,2021-01-01,380,なし
CS02215,P005,2021-01-01,380,なし
CS01708,P016,2021-01-01,350,なし
CS01708,P013,2021-01-01,550,なし
CS01708,P022,2021-01-01,570,なし
CS01708,P017,2021-01-01,280,クーポンA
CS02542,P008,2021-01-01,410,なし
CS02542,P010,2021-01-01,220,なし
CS02542,P007,2021-01-01,400,なし
CS02542,P000,2021-01-01,580,なし
CS02542,P010,2021-01-01,220,なし
CS02542,P025,2021-01-01,870,なし
CS02542,P015,2021-01-01,485,クーポンB
CS02542,P013,2021-01-01,550,なし
CS02542,P008,2021-01-01,410,なし
CS01691,P008,2021-01-01,410,なし
CS02339,P009,2021-01-02,290,なし
CS02339,P005,2021-01-02,380,なし
CS00275,P001,2021-01-02,390,なし
CS01442,P020,2021-01-02,550,なし
CS02563,P001,2021-01-02,390,なし
CS02528,P006,2021-01-02,360,なし
CS00318,P017,2021-01-02,380,なし
CS01669,P012,2021-01-02,520,なし
CS01669,P025,2021-01-02,870,なし
CS01669,P010,2021-01-02,220,なし
CS01669,P008,2021-01-02,410,なし
CS01669,P024,2021-01-02,630,なし
CS01669,P022,2021-01-02,570,なし
CS01669,P000,2021-01-02,580,なし
CS02378,P002,2021-01-02,420,なし
CS02378,P010,2021-01-02,220,なし
CS01563,P021,2021-01-02,580,なし
CS01563,P006,2021-01-02,360,なし
CS01563,P008,2021-01-02,390,クーポンB
CS01563,P005,2021-01-02,380,なし
CS01490,P023,2021-01-02,600,なし
CS02933,P011,2021-01-02,250,なし
CS02933,P001,2021-01-02,390,なし
CS01498,P007,2021-01-02,400,なし
CS01498,P004,2021-01-02,380,なし
CS00154,P023,2021-01-02,600,なし
CS00154,P002,2021-01-02,420,なし
CS00154,P003,2021-01-02,380,なし
CS00154,P025,2021-01-02,870,なし
CS00154,P002,2021-01-02,420,なし
CS00154,P004,2021-01-02,380,なし
CS01236,P025,2021-01-02,870,なし
CS01236,P023,2021-01-02,600,なし
CS01135,P025,2021-01-02,870,なし
CS01135,P011,2021-01-02,250,なし
CS01135,P018,2021-01-02,420,なし
CS01135,P016,2021-01-02,350,なし
CS01135,P017,2021-01-02,361,クーポンB
CS01135,P020,2021-01-02,550,なし
CS01135,P012,2021-01-02,494,クーポンB
CS01135,P005,2021-01-02,380,なし
CS01135,P024,2021-01-02,630,なし
CS01135,P017,2021-01-02,380,なし
CS01135,P010,2021-01-02,220,なし
CS01135,P016,2021-01-02,350,なし
CS01135,P001,2021-01-02,390,なし
CS01135,P017,2021-01-02,380,なし
CS01135,P015,2021-01-02,510,なし
CS01135,P002,2021-01-02,420,なし
CS01135,P023,2021-01-02,600,なし
CS01135,P008,2021-01-02,410,なし
