å⁄ãqID,îNä‘óàìXâÒêî,îNä‘Ç®éxï•Ç¢äz
CS01741,2,4670
CS01862,2,3160
CS02437,5,5980
CS00151,1,1570
CS02208,5,4390
CS02375,4,3410
CS02187,4,7000
CS01135,8,15285
CS02484,2,4920
CS00802,1,1140
CS02436,5,5209
CS01936,6,7131
CS00849,5,9421
CS02488,5,9552
CS00140,1,600
CS02722,1,1632
CS02644,6,6440
CS02841,4,7696
CS02664,1,380
CS02541,3,8860
CS01033,5,6714
CS02339,7,8380
CS02417,3,2680
CS01143,4,17692
CS01036,2,1300
CS01492,1,3071
CS01241,4,6870
CS01988,9,12851
CS01411,1,5670
CS00365,6,6084
CS02299,4,4275
CS01160,3,7710
CS02465,3,7460
CS00575,4,2400
CS01549,3,2540
CS02399,6,34466
CS02538,7,9422
CS00428,4,9121
CS00279,4,3770
CS00620,2,2321
CS01340,8,16196
CS02125,2,1180
CS02629,3,15010
CS01782,5,10620
CS02505,5,5240
CS02435,6,8919
CS00044,5,10161
CS00300,4,16231
CS02210,7,9940
CS01846,3,5188
CS02459,2,2840
CS00086,2,2490
CS01513,7,22289
CS00042,2,5760
CS02384,4,2942
CS02824,3,1990
CS02126,1,1252
CS01907,2,12992
CS00527,3,7115
CS02837,1,580
CS01170,2,5551
CS01221,3,8051
CS02111,3,7280
CS00237,5,10553
CS00708,1,42998
CS01347,3,8341
CS01717,6,12340
CS01098,5,16410
CS01843,6,5935
CS02257,3,3840
CS01571,2,3782
CS01980,2,2873
CS00799,2,1180
CS00746,2,2950
CS00009,3,2820
CS01772,2,1600
CS02042,3,6885
CS01813,5,6840
CS02792,4,6230
CS00440,3,7920
CS00427,5,4464
CS01176,5,6551
CS01184,5,14880
CS01527,2,2100
CS02102,7,17200
CS01142,5,22192
CS00416,6,8300
CS02205,4,5777
CS00196,2,1740
CS00893,1,1800
CS01276,3,13882
CS01928,7,15121
CS00629,2,5460
CS00215,3,3521
CS02976,5,7170
CS00590,4,12102
CS02501,6,17750
CS02620,3,29849
CS02181,4,4589
CS01421,1,220
CS00663,4,2540
CS02014,4,2630
CS02834,4,13451
CS00516,6,14722
CS02787,1,800
CS00954,2,8050
CS00540,5,2361
CS02968,5,21283
CS02000,4,7132
CS01614,1,2960
CS00553,3,9709
CS00461,5,4525
CS01237,2,3280
CS01250,3,1230
CS01970,3,2370
CS01158,2,3805
CS00558,7,5620
CS01279,1,3770
CS00607,1,510
CS02593,5,16431
CS00982,2,2780
CS00497,6,3680
CS00809,3,4120
CS02503,3,1240
CS02561,5,6300
CS01780,5,9501
CS02325,3,1380
CS00939,2,12230
CS02155,6,6355
CS01267,2,1530
CS01159,1,2815
CS00227,4,5801
CS02649,2,5083
